t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps,sensor_left,sensor_right,speed_command,turn_command,brain_dn_left,brain_dn_right
0.36,3.4979605674743652,-0.6463668942451477,1.1207789182662964,6.528296947479248,-0.05725650116801262,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.375,3.815321683883667,-0.5077525973320007,1.1196610927581787,18.394725799560547,-0.10250038653612137,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.39,3.873561382293701,-0.6512328386306763,1.1718333959579468,8.295502662658691,-0.1875048726797104,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.40499999999999997,4.070440769195557,-0.738964319229126,1.0955097675323486,17.304885864257812,-0.21336843073368073,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.42,4.310765743255615,-0.8791685700416565,1.139898657798767,22.047988891601562,-0.19314345717430115,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.435,4.398777008056641,-0.7954761385917664,1.1760824918746948,12.69217586517334,-0.1117691621184349,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.44999999999999996,4.615224838256836,-0.7479192018508911,1.1045438051223755,20.184871673583984,-0.107071153819561,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.46499999999999997,4.812514305114746,-0.7900950908660889,1.1340476274490356,15.301472663879395,-0.1404399275779724,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.48,4.8815131187438965,-0.8893547058105469,1.1376349925994873,17.99770736694336,-0.221900075674057,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.495,5.131054878234863,-1.0547711849212646,1.0719327926635742,23.131895065307617,-0.2078900933265686,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.51,5.281755447387695,-0.97947758436203,1.1284765005111694,3.155977964401245,-0.1539083570241928,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.525,5.418064117431641,-0.9508143663406372,1.1049760580062866,3.1173341274261475,-0.06343436241149902,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.54,5.685075283050537,-0.8317618370056152,1.1145142316818237,21.017244338989258,-0.0845700278878212,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.5549999999999999,5.79253625869751,-0.972172737121582,1.1819452047348022,2.696084499359131,-0.17777381837368011,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.57,5.938370704650879,-1.0494729280471802,1.1144541501998901,23.77725601196289,-0.22608020901679993,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.585,6.195785045623779,-1.226008415222168,1.1461652517318726,21.52724266052246,-0.1847088783979416,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
