t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps
0.46499999999999997,5.657052040100098,1.0033859014511108,1.1666094064712524,22.183752059936523,0.19380362331867218,1.0,1.0,0
0.48,5.90939998626709,1.0989456176757812,1.1063593626022339,37.56572723388672,0.2223183959722519,1.0,1.0,0
0.495,6.284093856811523,1.2778654098510742,1.178931474685669,23.430330276489258,0.11494256556034088,1.0,1.0,0
0.51,6.399179935455322,1.1824836730957031,1.2003159523010254,21.964740753173828,0.0199299156665802,1.0,1.0,0
0.525,6.723171710968018,1.0495352745056152,1.156822681427002,51.551727294921875,0.030144860967993736,1.0,1.0,0
0.54,7.1347455978393555,1.0161949396133423,1.2072054147720337,7.438723087310791,0.19267761707305908,1.0,1.0,0
0.5549999999999999,7.268543243408203,1.1122039556503296,1.1706405878067017,10.575287818908691,0.20742158591747284,1.0,1.0,0
0.57,7.38031530380249,1.278244972229004,1.034480333328247,9.67160701751709,0.2552332282066345,1.0,1.0,0
0.585,7.570206642150879,1.1892205476760864,1.1189861297607422,10.894102096557617,0.14521647989749908,1.0,1.0,0
0.6,7.717563629150391,1.1400278806686401,1.0977060794830322,19.803028106689453,0.06248817592859268,1.0,1.0,0
0.615,8.122397422790527,1.0020798444747925,1.1113083362579346,26.33934211730957,0.1002926155924797,1.0,1.0,0
0.63,8.205561637878418,1.1678650379180908,1.1844128370285034,9.303845405578613,0.20832780003547668,1.0,1.0,0
0.645,8.387309074401855,1.2509655952453613,1.0683389902114868,27.17019271850586,0.23394444584846497,1.0,1.0,0
0.6599999999999999,8.627237319946289,1.3700718879699707,1.0908704996109009,26.376848220825195,0.20485353469848633,1.0,1.0,0
0.6749999999999999,8.770414352416992,1.2914294004440308,1.1382606029510498,21.80868148803711,0.0858309268951416,1.0,1.0,0
0.69,9.06783390045166,1.2065870761871338,1.1331349611282349,37.75890350341797,0.08123303949832916,1.0,1.0,0
0.705,9.360311508178711,1.2546887397766113,1.16941499710083,17.92734146118164,0.14371931552886963,1.0,1.0,0
0.72,9.406074523925781,1.363616704940796,1.152243733406067,4.686570644378662,0.23367829620838165,1.0,1.0,0
0.735,9.637828826904297,1.5512266159057617,1.118477702140808,34.49567794799805,0.2535972595214844,1.0,1.0,0
0.75,9.874719619750977,1.5009349584579468,1.164355754852295,8.925071716308594,0.14135630428791046,1.0,1.0,0
0.765,10.01470947265625,1.4763261079788208,1.1102381944656372,7.024073600769043,0.0725981816649437,1.0,1.0,0
0.78,10.335039138793945,1.3339914083480835,1.1140564680099487,27.73721694946289,0.09017045050859451,1.0,1.0,0
0.7949999999999999,10.423545837402344,1.5158324241638184,1.1706730127334595,7.295698165893555,0.2071942836046219,1.0,1.0,0
0.8099999999999999,10.622048377990723,1.5937330722808838,1.130323052406311,31.82598304748535,0.2892434895038605,1.0,1.0,0
0.825,10.979784965515137,1.9044309854507446,1.1476675271987915,25.693164825439453,0.2378576546907425,1.0,1.0,0
0.84,11.054742813110352,1.7251276969909668,1.1937177181243896,21.9133243560791,0.15184395015239716,1.0,1.0,0
0.855,11.339235305786133,1.7574117183685303,1.093661904335022,33.272342681884766,0.12321210652589798,1.0,1.0,0
0.87,11.735637664794922,1.7039947509765625,1.1460003852844238,21.764911651611328,0.1920952945947647,1.0,1.0,0
0.885,11.763526916503906,1.8674492835998535,1.1707910299301147,28.847293853759766,0.2593649923801422,1.0,1.0,0
0.8999999999999999,11.951495170593262,2.002371311187744,1.0692330598831177,30.307334899902344,0.28097298741340637,1.0,1.0,0
0.9149999999999999,12.245882034301758,2.000579833984375,1.1519383192062378,8.407170295715332,0.18910837173461914,1.0,1.0,0
0.9299999999999999,12.388687133789062,1.927229642868042,1.1420872211456299,7.282689571380615,0.09468966722488403,1.0,1.0,0
0.945,12.828214645385742,1.8119089603424072,1.0790389776229858,21.655595779418945,0.14154992997646332,1.0,1.0,0
0.96,12.938849449157715,1.9872959852218628,1.1537621021270752,1.826551914215088,0.22673647105693817,1.0,1.0,0
0.975,13.035547256469727,2.0595200061798096,1.0869650840759277,14.59118938446045,0.3027239441871643,1.0,1.0,0
0.99,13.311431884765625,2.311537027359009,1.1104223728179932,24.558948516845703,0.28177160024642944,1.0,1.0,0
1.005,13.114570617675781,2.1280508041381836,1.0800609588623047,15.728250503540039,0.23564592003822327,0.0,0.0,0
1.02,13.073651313781738,2.0174672603607178,1.1508835554122925,16.319114685058594,0.17683596909046173,0.0,0.0,0
1.035,12.952156066894531,1.9950188398361206,1.1438977718353271,9.46657943725586,0.12562038004398346,0.0,0.0,0
1.05,12.829122543334961,2.014456033706665,1.120627760887146,5.877161026000977,0.12533393502235413,0.0,0.0,0
1.065,12.806801795959473,2.054504156112671,1.138049840927124,3.5800893306732178,0.14838051795959473,0.0,0.0,0
1.08,12.759088516235352,2.0482800006866455,1.1226692199707031,2.313185691833496,0.17125332355499268,0.0,0.0,0
1.095,12.730159759521484,2.0259628295898438,1.1094809770584106,4.000718116760254,0.16482877731323242,0.0,0.0,0
1.1099999999999999,12.717098236083984,2.013688325881958,1.1179543733596802,1.1702440977096558,0.16190852224826813,0.0,0.0,0
1.125,12.7012939453125,2.0165672302246094,1.1079984903335571,1.7279351949691772,0.15962137281894684,0.0,0.0,0
1.14,12.714181900024414,2.036201238632202,1.1175119876861572,5.106776237487793,0.15605615079402924,0.0,0.0,0
1.155,12.709654808044434,2.0443613529205322,1.1212197542190552,0.6337488293647766,0.1579950898885727,0.0,0.0,0
1.17,12.711771011352539,2.0554885864257812,1.1169160604476929,1.0457366704940796,0.1561460942029953,0.0,0.0,0
1.185,12.723469734191895,2.034893035888672,1.1089255809783936,1.5611541271209717,0.15507954359054565,0.0,0.0,0
1.2,12.720036506652832,2.0332682132720947,1.1045682430267334,0.2863587737083435,0.15372459590435028,0.0,0.0,0
1.2149999999999999,12.721592903137207,2.0319550037384033,1.1034389734268188,0.23951862752437592,0.1551201194524765,0.0,0.0,0
1.23,12.727481842041016,2.0397908687591553,1.1052958965301514,3.0601863861083984,0.15278443694114685,0.0,0.0,0
1.2449999999999999,12.726395606994629,2.0369691848754883,1.1030198335647583,0.3754103183746338,0.15023979544639587,0.0,0.0,0
1.26,12.726000785827637,2.0359151363372803,1.1024430990219116,0.7448099255561829,0.14888130128383636,0.0,0.0,0
1.275,12.731678009033203,2.04062819480896,1.1103262901306152,0.1498165875673294,0.15464837849140167,0.0,0.0,0
1.29,12.732169151306152,2.039499044418335,1.1095380783081055,0.07271770387887955,0.15572509169578552,0.0,0.0,0
1.305,12.730950355529785,2.040203094482422,1.1089431047439575,1.4917793273925781,0.15402103960514069,0.0,0.0,0
1.3199999999999998,12.731171607971191,2.0381951332092285,1.1083495616912842,0.4107896685600281,0.15236273407936096,0.0,0.0,0
1.335,12.730744361877441,2.039135694503784,1.1075106859207153,0.1341140866279602,0.1507565975189209,0.0,0.0,0
1.3499999999999999,12.733820915222168,2.0379109382629395,1.1090962886810303,1.4917168617248535,0.15048928558826447,0.0,0.0,0
1.365,12.73005485534668,2.0380568504333496,1.1056100130081177,0.22845986485481262,0.15223820507526398,0.0,0.0,0
1.38,12.728799819946289,2.0379865169525146,1.1037790775299072,0.1623975783586502,0.1525391787290573,0.0,0.0,0
1.395,12.733034133911133,2.0384538173675537,1.1109272241592407,3.329421043395996,0.1489933580160141,0.0,0.0,0
1.41,12.729061126708984,2.0365071296691895,1.1052333116531372,0.36105990409851074,0.14860008656978607,0.0,0.0,0
1.425,12.728259086608887,2.0359742641448975,1.1041064262390137,0.0531160794198513,0.14840926229953766,0.0,0.0,0
1.44,12.730605125427246,2.0374510288238525,1.1049884557724,0.321702241897583,0.15023590624332428,0.0,0.0,0
1.4549999999999998,12.729832649230957,2.0365216732025146,1.103391170501709,0.320734441280365,0.15214797854423523,0.0,0.0,0
1.47,12.727808952331543,2.036875009536743,1.1020324230194092,0.31732770800590515,0.15307609736919403,0.0,0.0,0
1.4849999999999999,12.727388381958008,2.0344505310058594,1.1003762483596802,1.0100128650665283,0.14941410720348358,0.0,0.0,0
1.5,12.728218078613281,2.0355381965637207,1.1018770933151245,0.1733640730381012,0.14844723045825958,0.0,0.0,0
1.515,12.734031677246094,2.0388429164886475,1.1062047481536865,3.4912898540496826,0.15123440325260162,0.0,0.0,0
1.53,12.73009967803955,2.0360400676727295,1.1028534173965454,0.18100115656852722,0.1522170752286911,0.0,0.0,0
1.545,12.727263450622559,2.036425828933716,1.099444031715393,0.08707285672426224,0.15144743025302887,0.0,0.0,0
1.56,12.741549491882324,2.035231828689575,1.112864375114441,2.1483781337738037,0.14898647367954254,0.0,0.0,0
1.575,12.730097770690918,2.0368175506591797,1.1033519506454468,0.744024395942688,0.1477646827697754,0.0,0.0,0
1.5899999999999999,12.72724437713623,2.0352745056152344,1.099447250366211,0.288307249546051,0.1475837230682373,0.0,0.0,0
1.605,12.730484962463379,2.0350794792175293,1.101835012435913,1.8529207706451416,0.15157561004161835,0.0,0.0,0
